Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean,Ticker
"Amicus Therapeutics, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NGM,13,5897106432,1.502818,1.8,FOLD
"AutoZone, Inc.",USA,Consumer Cyclical,Specialty Retail,USD,us_market,NYQ,17,26995865600,0.917136,2.2,AZO
"AutoNation, Inc.",USA,Consumer Cyclical,Auto & Truck Dealerships,USD,us_market,NYQ,7,5711224832,1.640924,2.6,AN
AstraZeneca PLC,USA,Healthcare,Drug Manufacturers—General,USD,us_market,NYQ,3,136636481536,0.299367,1.6,AZN
The AES Corporation,USA,Utilities,Utilities—Diversified,USD,us_market,NYQ,8,13701698560,0.883314,1.9,AES
Anheuser-Busch InBev SA/NV,USA,Consumer Defensive,Beverages—Brewers,USD,us_market,NYQ,8,134107832320,1.134177,2,BUD
"ARMOUR Residential REIT, Inc.",USA,Real Estate,REIT—Mortgage,USD,us_market,NYQ,4,690023936,1.052423,2.5,ARR
"Becton, Dickinson and Company",USA,Healthcare,Medical Instruments & Supplies,USD,us_market,NYQ,14,69215895552,0.844983,2.1,BDX
AK Steel Holding Corporation,USA, , , ,us_market,NYQ, , , , ,AKS
AllianceBernstein Holding L.P.,USA,Financial Services,Asset Management,USD,us_market,NYQ,7,3135291904,1.587373,2.1,AB
"Acorda Therapeutics, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NMS,4,31002894,0.935738,2.7,ACOR
Credit Suisse Group AG,USA,Financial Services,Banks—Diversified,CHF,us_market,NYQ,1,31776688128,1.635443,2,CS
Aflac Incorporated,USA,Financial Services,Insurance—Life,USD,us_market,NYQ,10,31399290880,0.806087,3.1,AFL
"Analog Devices, Inc.",USA,Technology,Semiconductors,USD,us_market,NMS,21,51997622272,1.295941,1.9,ADI
"ACI Worldwide, Inc.",USA,Technology,Software—Infrastructure,USD,us_market,NMS,7,3902185728,1.266065,1.7,ACIW
"Ameriprise Financial, Inc.",USA,Financial Services,Asset Management,USD,us_market,NYQ,10,22445314048,1.775084,1.8,AMP
"Avon Products, Inc.",USA, , , ,us_market,NYQ, , , , ,AVP
TD Ameritrade Holding Corporation,USA, , ,USD,us_market,NMS,9, , , ,AMTD
"American Eagle Outfitters, Inc.",USA,Consumer Cyclical,Apparel Retail,USD,us_market,NYQ,16,2973440512,1.250845,2.2,AEO
"American Water Works Company, Inc.",USA,Utilities,Utilities—Regulated Water,USD,us_market,NYQ,14,27970269184,0.199549,2.5,AWK
Novo Nordisk A/S,USA,Healthcare,Biotechnology,DKK,us_market,NYQ,2,157156524032,0.362658,3,NVO
"Alaska Air Group, Inc.",USA,Industrials,Airlines,USD,us_market,NYQ,15,6299444224,1.642615,2.1,ALK
"Plains All American Pipeline, L.P.",USA,Energy,Oil & Gas Midstream,USD,us_market,NYQ,23,5900663808,2.136414,2,PAA
"Advance Auto Parts, Inc.",USA,Consumer Cyclical,Specialty Retail,USD,us_market,NYQ,16,10355274752,1.394588,2.3,AAP
Nordic American Tankers Limited,USA,Industrials,Marine Shipping,USD,us_market,NYQ,6,461175232,0.613303,2.3,NAT
Federal National Mortgage Association,USA,Financial Services,Mortgage Finance,USD,us_market,PNK,5,3157185536,2.178692,2.8,FNMA
Apartment Investment and Management Company,USA,Real Estate,REIT—Residential,USD,us_market,NYQ,10,4712898560,0.792559,2.7,AIV
"Agios Pharmaceuticals, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NMS,12,3223351040,1.836527,1.9,AGIO
Ameren Corporation,USA,Utilities,Utilities—Regulated Electric,USD,us_market,NYQ,11,19408222208,0.281285,2.1,AEE
UBS Group AG,USA,Financial Services,Banks—Diversified,USD,us_market,NYQ,1,51904348160,1.187974,1.5,UBS
Anavex Life Sciences Corp.,USA,Healthcare,Biotechnology,USD,us_market,NCM,5,315398720,0.91319,1.7,AVXL
"Alliance Resource Partners, L.P.",USA,Energy,Thermal Coal,USD,us_market,NMS,3,564745792,1.678128,2.3,ARLP
"Anthem, Inc.",USA,Healthcare,Healthcare Plans,USD,us_market,NYQ,24,78068187136,0.966178,2,ANTM
Agrium Inc.,USA, , , ,us_market,NYQ, , , , ,AGU
First Majestic Silver Corp.,USA,Basic Materials,Silver,USD,us_market,NYQ,3,2450270208,1.518942,2.3,AG
"AmTrust Financial Services, Inc.",USA, , , ,us_market,NMS, , , , ,AFSI
AmerisourceBergen Corporation,USA,Healthcare,Medical Distribution,USD,us_market,NYQ,16,20872308736,0.549605,2.4,ABC
Statoil ASA,USA, , , ,us_market,NYQ, , , , ,STO
Allegheny Technologies Incorporated,USA,Industrials,Metal Fabrication,USD,us_market,NYQ,7,1781764864,1.656144,3.2,ATI
"AvalonBay Communities, Inc.",USA,Real Estate,REIT—Residential,USD,us_market,NYQ,18,23377524736,0.896279,2.7,AVB
"Atwood Oceanics, Inc.",USA, , , ,us_market,NYQ, , , , ,ATW
"Alnylam Pharmaceuticals, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NMS,23,15367261184,1.590191,2,ALNY
Laboratory Corporation of America Holdings,USA, , ,USD,us_market,NYQ,15,19622205440,1.195603,1.8,LH
Avery Dennison Corporation,USA,Industrials,Business Equipment & Supplies,USD,us_market,NYQ,11,12658635776,0.996054,2.4,AVY
Yamana Gold Inc.,USA,Basic Materials,Gold,USD,us_market,NYQ,12,5222050816,2.007147,2.6,AUY
Ashland Global Holdings Inc.,USA,Basic Materials,Chemicals,USD,us_market,NYQ,10,4614870016,1.401352,2.1,ASH
Acxiom Corporation,USA, , , ,us_market,NMS, , , , ,ACXM
"Achillion Pharmaceuticals, Inc.",USA, , , ,us_market,NMS, , , , ,ACHN
Aceto Corporation,USA,Healthcare,Biotechnology,USD,us_market,NMS,4,235207200, ,1.7,ACET
"ABIOMED, Inc.",USA,Healthcare,Medical Devices,USD,us_market,NMS,5,12120382464,1.425591,2.3,ABMD
ABM Industries Incorporated,USA,Industrials,Specialty Business Services,USD,us_market,NYQ,4,2597462528,1.275648,2,ABM
"aTyr Pharma, Inc.",USA, ,Biotechnology,USD,us_market,NMS,3,42779100,1.967305,1.7,LIFE
Atmos Energy Corporation,USA,Utilities,Utilities—Regulated Gas,USD,us_market,NYQ,10,12165912576,0.288049,2.3,ATO
Aon plc,USA,Financial Services,Insurance Brokers,USD,us_market,NYQ,12,48806338560,0.818489,2.5,AON
"Advaxis, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NMS, ,34846520,3.494363,2,ADXS
Agree Realty Corporation,USA,Real Estate,REIT—Retail,USD,us_market,NYQ,13,3669956608,0.238444,1.5,ADC
"AmeriGas Partners, L.P.",USA, , , ,us_market,NYQ, , , , ,APU
"Spirit Airlines, Inc.",USA,Industrials,Airlines,USD,us_market,NMS,15,2204599296,1.428974,2.7,SAVE
"Akorn, Inc.",USA, , , ,us_market,NMS, , , , ,AKRX
Alliance Data Systems Corporation,USA,Financial Services,Credit Services,USD,us_market,NYQ,16,3637314560,2.415445,2.3,ADS
"Abaxis, Inc.",USA, , , ,us_market,NMS, , , , ,ABAX
"Acuity Brands, Inc.",USA,Industrials,Electrical Equipment & Parts,USD,us_market,NYQ,9,4398622720,1.326381,2.8,AYI
American Tower Corporation,USA,Real Estate,REIT—Specialty,USD,us_market,NYQ,18,104661024768,0.30496,2,AMT
"Alder Biopharmaceuticals, Inc.",USA, , , ,us_market,NGM, , , , ,ALDR
AECOM,USA,Industrials,Engineering & Construction,USD,us_market,NYQ,9,7909079552,1.651071,1.6,ACM
"Antares Pharma, Inc.",USA,Healthcare,Medical Instruments & Supplies,USD,us_market,NCM,6,523350112,1.426155,1.5,ATRS
"Arrow Electronics, Inc.",USA,Technology,Electronics & Computer Distribution,USD,us_market,NYQ,8,7001529344,1.537204,2.9,ARW
"Apollo Commercial Real Estate Finance, Inc.",USA,Real Estate,REIT—Mortgage,USD,us_market,NYQ,3,1551684736,1.21195,3,ARI
Antero Resources Corporation,USA,Energy,Oil & Gas E&P,USD,us_market,NYQ,13,1037073920,4.77903,3.1,AR
"AMC Entertainment Holdings, Inc.",USA,Communication Services,Entertainment,USD,us_market,NYQ,7,570185088,2.086809,3.4,AMC
Air Lease Corporation,USA,Industrials,Rental & Leasing Services, ,us_market,NYQ,8,4303121920,2.043968,1.8,AL
Agenus Inc.,USA,Healthcare,Biotechnology,USD,us_market,NCM,2,722566144,2.100338,1.3,AGEN
"Aaron's, Inc.",USA,Industrials,Rental & Leasing Services,USD,us_market,NYQ,9,1243724416,1.998308,2,AAN
"Aqua America, Inc.",USA, , , ,us_market,NYQ, , , , ,WTR
Booz Allen Hamilton Holding Corporation,USA,Industrials,Consulting Services,USD,us_market,NYQ,11,12271720448,0.801014,2.2,BAH
Abraxas Petroleum Corporation,USA,Energy,Oil & Gas E&P,USD,us_market,NCM,2,18403578,3.502254,3.5,AXAS
"Avnet, Inc.",USA,Technology, ,USD,us_market,NYQ,9,3063708160,1.405298,2.8,AVT
Albemarle Corporation,USA,Basic Materials,Specialty Chemicals,USD,us_market,NYQ,20,14465377280,1.306651,2.9,ALB
"Assurant, Inc.",USA,Financial Services,Insurance—Specialty,USD,us_market,NYQ,4,7718608384,0.642051,1.8,AIZ
Science Applications International Corporation,USA,Technology,Information Technology Services,USD,us_market,NYQ,10,5427911168,0.9239,1.6,SAIC
"Avis Budget Group, Inc.",USA,Industrials,Rental & Leasing Services,USD,us_market,NMS,6,2549018880,2.494363,2.3,CAR
AngloGold Ashanti Limited,USA,Basic Materials,Gold,USD,us_market,NYQ,6,9555496960,0.104534,2.5,AU
Amphenol Corporation,USA,Technology,Electronic Components,USD,us_market,NYQ,16,39371792384,1.254791,2.2,APH
"Anthera Pharmaceuticals, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NGM,1,626656,2.35062, ,ANTH
"América Móvil, S.A.B. de C.V.",USA,Communication Services,Telecom Services,MXN,us_market,NYQ,9,49346678784,0.309823,2.1,AMX
Amedica Corporation,USA, , , ,us_market,NCM, , , , ,AMDA
Arlington Asset Investment Corp.,USA, , , ,us_market,NYQ, , , , ,AI
The Advisory Board Company,USA, , , ,us_market,NMS, , , , ,ABCO
Western Asset Mortgage Capital Corporation,USA,Real Estate,REIT—Mortgage,USD,us_market,NYQ,1,188519360,1.741262,3.3,WMC
Mustera Property Group Limited,Australia,Real Estate,Real Estate—Development, ,us_market,ASX, ,34867800,-0.177215, ,MPX.AX
"Jack Henry & Associates, Inc.",USA,Technology,Information Technology Services,USD,us_market,NMS,10,12312855552,0.505073,2.8,JKHY
"AeroVironment, Inc.",USA,Industrials,Aerospace & Defense,USD,us_market,NMS,4,2105028608,0.513528,2,AVAV
"Amkor Technology, Inc.",USA,Technology,Semiconductors, ,us_market,NMS,3,3646387712,1.607102,3.3,AMKR
Aluminum Corporation Of China Limited,USA,Basic Materials,Aluminum,CNY,us_market,NYQ,1,9778451456,1.27405, ,ACH
"Advanced Energy Industries, Inc.",USA,Industrials,Electrical Equipment & Parts,USD,us_market,NMS,9,3817701888,1.610484,2.4,AEIS
Alleghany Corporation,USA,Financial Services,Insurance—Property & Casualty,USD,us_market,NYQ,2,8347533824,0.675873,2.3,Y
MTGE Investment Corp.,USA, , , ,us_market,NMS, , , , ,MTGE
Century Aluminum Company,USA,Basic Materials,Aluminum,USD,us_market,NMS,3,978516352,2.270574,3,CENX
Altisource Portfolio Solutions S.A.,USA,Financial Services,Mortgage Finance,USD,us_market,NMS, ,203446096,1.31567, ,ASPS
Amarin Corporation plc,USA,Healthcare,Biotechnology,USD,us_market,NGM,11,1909150336,2.961668,2.2,AMRN
"Ampio Pharmaceuticals, Inc.",USA,Healthcare,Biotechnology,USD,us_market,ASE, ,169195792,1.801014,2,AMPE
"AMAG Pharmaceuticals, Inc.",USA, , , ,us_market,NMS, , , , ,AMAG
Alkermes plc,USA,Healthcare,Biotechnology,USD,us_market,NMS,11,2937908736,1.182638,3,ALKS
"Advanced Emissions Solutions, Inc.",USA,Industrials,Pollution & Treatment Controls,USD,us_market,NGM,1,99231264,0.708568,2,ADES
"AAON, Inc.",USA,Industrials,Building Products & Equipment,USD,us_market,NMS,1,3356032512,0.658399,3.5,AAON
Acceleron Pharma Inc.,USA,Healthcare,Biotechnology,USD,us_market,NGM,13,7230842880,0.523111,1.9,XLRN
"Verisk Analytics, Inc.",USA,Industrials,Consulting Services,USD,us_market,NMS,15,32540762112,0.755918,2.4,VRSK
Voxeljet AG,USA,Technology,Computer Hardware,EUR,us_market,NYQ,1,56000880,2.481397,2,VJET
"Orbital ATK, Inc.",USA, , , ,us_market,NYQ, , , , ,OA
"Atlas Energy Group, LLC",USA,Energy,Oil & Gas E&P,USD,us_market,PNK, ,124697,0.468432, ,ATLS
"Preferred Apartment Communities, Inc.",USA,Real Estate,REIT—Residential,USD,us_market,NYQ,5,405691872,0.784667,2.8,APTS
"Apollo Global Management, LLC",USA,Financial Services,Asset Management,USD,us_market,NYQ,14,10340194304,1.609921,2.4,APO
"Alaska Communications Systems Group, Inc.",USA,Communication Services,Telecom Services,USD,us_market,NMS,1,165235072,1.005636, ,ALSK
Alamo Group Inc.,USA,Industrials,Farm & Heavy Construction Machinery, ,us_market,NYQ,3,1614396800,0.967305,1.3,ALG
A.H. Belo Corporation,USA,Communication Services,Publishing,USD,us_market,NYQ,1,31687392,0.426719, ,AHC
Acacia Research Corporation,USA,Industrials,Specialty Business Services,USD,us_market,NMS,1,182334160,0.782976, ,ACTG
Ritchie Bros. Auctioneers Incorporated,USA,Industrials,Specialty Business Services,USD,us_market,NYQ,7,7621514752,1.127959,2.4,RBA
"Mid-America Apartment Communities, Inc.",USA,Real Estate,REIT—Residential,USD,us_market,NYQ,12,14249358336,0.634723,2.5,MAA
Brookfield Asset Management Inc.,USA,Financial Services,Asset Management,USD,us_market,NYQ,12,61071945728,1.105789,1.7,BAM
"athenahealth, Inc.",USA, , , ,us_market,NMS, , , , ,ATHN
Atlantic Power Corporation,USA,Utilities,Utilities—Independent Power Producers,USD,us_market,NYQ,3,184631600,0.367405,2.3,AT
"Advanced Semiconductor Engineering, Inc.",USA,Technology,Semiconductors,TWD,us_market,NYQ,4,11728507904,1.22096,1.5,ASX
Arcos Dorados Holdings Inc.,USA,Consumer Cyclical,Restaurants,USD,us_market,NYQ,8,1013530688,1.582299,2,ARCO
"Arista Networks, Inc.",USA,Technology,Computer Hardware,USD,us_market,NYQ,22,20671479808,1.046786,2.4,ANET
Access National Corporation,USA, , , ,us_market,NGM, , , , ,ANCX
AAR Corp.,USA,Industrials,Aerospace & Defense,USD,us_market,NYQ,5, ,1.510146,1.6,AIR
Astoria Financial Corporation,USA, , , ,us_market,NYQ, , , , ,AF
Westinghouse Air Brake Technologies Corporation,USA,Industrials,Railroads,USD,us_market,NYQ,11,13760570368,1.638105,2.5,WAB
Reliance Steel & Aluminum Co.,USA,Basic Materials,Steel,USD,us_market,NYQ,6,7666057216,1.053551,2.4,RS
Packaging Corporation of America,USA,Consumer Cyclical,Packaging & Containers,USD,us_market,NYQ,10,12511976448,1.076099,2.6,PKG
"Accelerate Diagnostics, Inc.",USA,Healthcare,Diagnostics & Research,USD,us_market,NCM,3,441980160,2.665727,2.4,AXDX
"AV Homes, Inc.",USA, , , ,us_market,NMS, , , , ,AVHI
Avista Corporation,USA,Utilities,Utilities—Diversified,USD,us_market,NYQ,5,2585844736,0.447576,3,AVA
"Athersys, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NCM,5,353883008,-1.677564,1.7,ATHX
"Arrowhead Pharmaceuticals, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NMS,12,6436698624,1.741826,1.9,ARWR
"Angie's List, Inc.",USA,Communication Services,Internet Content & Information,USD,us_market,NMS,17,6137506816,2.073973,2,ANGI
"Affiliated Managers Group, Inc.",USA,Financial Services,Asset Management,USD,us_market,NYQ,8,4025344000,1.408117,2.6,AMG
"Allison Transmission Holdings, Inc.",USA,Consumer Cyclical,Auto Parts,USD,us_market,NYQ,10,4589089792,1.237316,2.3,ALSN
"Align Technology, Inc.",USA,Healthcare,Medical Devices,USD,us_market,NMS,14,39433084928,1.746899,2.1,ALGN
"Akebia Therapeutics, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NGM,7,449516288,1.827508,2.2,AKBA
Assured Guaranty Ltd.,USA,Financial Services,Insurance—Specialty,USD,us_market,NYQ,3,2505800192,1.074408,1.7,AGO
Aeterna Zentaris Inc.,USA,Healthcare,Biotechnology,USD,us_market,NCM, ,24113960,2.398141, ,AEZS
"AcelRx Pharmaceuticals, Inc.",USA,Healthcare,Drug Manufacturers—Specialty & Generic,USD,us_market,NGM,5,132097296,1.519165,2,ACRX
Rockwell Automation Inc.,USA,Industrials,Specialty Industrial Machinery,USD,us_market,NYQ,22,28691566592,1.461104,2.8,ROK
"Gaming and Leisure Properties, Inc.",USA,Real Estate,REIT—Specialty,USD,us_market,NMS,16,9580493824,1.028184,1.8,GLPI
AZZ Inc.,USA, ,Electrical Equipment & Parts,USD,us_market,NYQ,2,1176827904,1.388951,1.7,AZZ
"AtriCure, Inc.",USA,Healthcare,Medical Instruments & Supplies,USD,us_market,NGM,8,1946352896,0.92841,1.4,ATRC
ARRIS International plc,USA, , , ,us_market,NMS, , , , ,ARRS
Aramark,USA,Consumer Cyclical,Restaurants,USD,us_market,NYQ,15,9285064704,1.793122,2.4,ARMK
A. O. Smith Corporation,USA,Industrials,Specialty Industrial Machinery,USD,us_market,NYQ,9,8890428416,1.094137,2.6,AOS
Amira Nature Foods Ltd.,USA, , , ,us_market,NYQ, , , , ,ANFI
"American Midstream Partners, LP",USA, , , ,us_market,NYQ, , , , ,AMID
AMC Networks Inc.,USA,Communication Services,Broadcasting,USD,us_market,NMS,15,1334500480,0.936302,3.1,AMCX
"Alimera Sciences, Inc.",USA,Healthcare,Drug Manufacturers—Specialty & Generic,USD,us_market,NGM,4,23606004,1.858511,2,ALIM
"ALLETE, Inc.",USA,Utilities,Utilities—Diversified,USD,us_market,NYQ,6,2975043328,0.347801,2.5,ALE
"Ashford Hospitality Trust, Inc.",USA,Real Estate,REIT—Hotel & Motel,USD,us_market,NYQ,5,111865864,1.642051,2.8,AHT
ABB Ltd,USA,Industrials,Electrical Equipment & Parts,USD,us_market,NYQ,4,54619627520,1.202531,2.5,ABB
"Spirit AeroSystems Holdings, Inc.",USA,Industrials,Aerospace & Defense,USD,us_market,NYQ,19,3565865984,1.380496,2.6,SPR
Sealed Air Corporation,USA,Consumer Cyclical,Packaging & Containers,USD,us_market,NYQ,11,7152552448,1.208004,2.4,SEE
Delphi Automotive PLC,USA, , , ,us_market,NYQ, , , , ,DLPH
"CBL & Associates Properties, Inc.",USA, , , ,us_market,NYQ, , , , ,CBL
"Banco Bilbao Vizcaya Argentaria, S.A.",USA,Financial Services,Banks—Diversified,EUR,us_market,NYQ,1,31818676224,1.346835,3,BBVA
Aircastle Limited,USA, , , ,us_market,NYQ, , , , ,AYR
"Apogee Enterprises, Inc.",USA,Industrials,Building Products & Equipment,USD,us_market,NMS,4,707928320,1.209131,2.6,APOG
"The Andersons, Inc.",USA,Consumer Defensive,Food Distribution,USD,us_market,NMS,4,774664960,0.775084,2,ANDE
American Superconductor Corporation,USA,Industrials,Specialty Industrial Machinery,USD,us_market,NMS,4,516177984,0.886696,2,AMSC
"Amyris, Inc.",USA,Basic Materials,Specialty Chemicals,USD,us_market,NMS,4,657830272,0.728297,1.7,AMRS
"Amedisys, Inc.",USA,Healthcare,Medical Care Facilities,USD,us_market,NMS,14,8146519040,0.900225,1.9,AMED
"Alexander & Baldwin, Inc.",USA,Real Estate,REIT—Diversified,USD,us_market,NYQ,3,1148986368,1.26381,2,ALEX
"Alico, Inc.",USA,Consumer Defensive,Farm Products,USD,us_market,NMS, , ,0.700676, ,ALCO
Addus HomeCare Corporation,USA,Healthcare,Medical Care Facilities,USD,us_market,NMS,8,1607112448,0.671364,1.4,ADUS
Actua Corporation,USA, , , ,us_market,NMS, , , , ,ACTA
Acasti Pharma Inc.,USA,Healthcare,Biotechnology,USD,us_market,NCM,2,34281456,1.222301,2,ACST
"Atlas Air Worldwide Holdings, Inc.",USA,Industrials,Airports & Air Services,USD,us_market,NMS,6,1501619072, ,1.7,AAWW
"Advanced Drainage Systems, Inc.",USA,Industrials,Building Products & Equipment,USD,us_market,NYQ,5,4979891200,1.459413,2,WMS
